Manufacturer,Name,Price,Socket,process,Core,Thread,Base Clock,MaxClock,L3Cache,TDP,MemoryStandard,MemoryMaxClock,InternalGraphic,BundleCooler,Stock,PriorityGaming,PriorityTask
Intel,i9-12세대 12900KS ,973310,LGA1700,10nm(인텔7),8+8코어,16+8쓰레드,3.4GHz,5.5GHz,30MB,150W,DDR5/DDR4,4800/3200MHz,TRUE,TRUE,147,1,1
Intel,펜티엄 골드 G7400 ,87500,LGA1700,10nm(인텔7),2코어,4쓰레드,3.7GHz,3.7GHz,6MB,46W,DDR5/DDR4,4800/3200MHz,TRUE,FALSE,146,61,61
Intel,i9-12세대 12900K ,774250,LGA1700,10nm(인텔7),8+8코어,16+8쓰레드,3.2GHz,5.2GHz,30MB,125W,DDR5/DDR4,4800/3200MHz,TRUE,TRUE,213,2,2
Intel,i9-12세대 12900KF ,738040,LGA1700,10nm(인텔7),8+8코어,16+8쓰레드,3.2GHz,5.2GHz,30MB,125W,DDR5/DDR4,4800/3200MHz,FALSE,FALSE,209,2,2
Intel,i9-12세대 12900 ,640930,LGA1700,10nm(인텔7),8+8코어,16+8쓰레드,2.4GHz,5.1GHz,30MB,65W,DDR5/DDR4,4800/3200MHz,TRUE,TRUE,181,4,9
Intel,i7-12세대 12700K ,592150,LGA1700,10nm(인텔7),8+4코어,16+4쓰레드,3.6GHz,5.0GHz,25MB,125W,DDR5/DDR4,4800/3200MHz,TRUE,TRUE,281,6,5
Intel,i9-12세대 12900F ,583340,LGA1700,10nm(인텔7),8+8코어,16+8쓰레드,2.4GHz,5.1GHz,30MB,65W,DDR5/DDR4,4800/3200MHz,FALSE,TRUE,238,4,9
Intel,i7-12세대 12700KF ,501720,LGA1700,10nm(인텔7),8+4코어,16+4쓰레드,3.6GHz,5.0GHz,25MB,125W,DDR5/DDR4,4800/3200MHz,FALSE,FALSE,199,6,5
Intel,i7-12세대 12700 ,417110,LGA1700,10nm(인텔7),8+4코어,16+4쓰레드,2.1GHz,4.9GHz,25MB,65W,DDR5/DDR4,4800/3200MHz,TRUE,TRUE,285,8,11
Intel,i7-12세대 12700F ,414990,LGA1700,10nm(인텔7),8+4코어,16+4쓰레드,2.1GHz,4.9GHz,25MB,65W,DDR5/DDR4,4800/3200MHz,FALSE,TRUE,238,8,5
Intel,i5-12세대 12600K ,348080,LGA1700,10nm(인텔7),6+4코어,12+4쓰레드,3.7GHz,4.9GHz,20MB,125W,DDR5/DDR4,4800/3200MHz,TRUE,TRUE,318,11,12
Intel,i5-12세대 12600KF ,327290,LGA1700,10nm(인텔7),6+4코어,12+4쓰레드,3.7GHz,4.9GHz,20MB,125W,DDR5/DDR4,4800/3200MHz,FALSE,FALSE,257,11,12
Intel,i5-12세대 12600 ,287730,LGA1700,10nm(인텔7),6코어,12쓰레드,3.3GHz,4.8GHz,18MB,65W,DDR5/DDR4,4800/3200MHz,TRUE,TRUE,229,15,31
Intel,i5-12세대 12500 ,263600,LGA1700,10nm(인텔7),6코어,12쓰레드,3.0GHz,4.6GHz,18MB,65W,DDR5/DDR4,4800/3200MHz,TRUE,TRUE,245,15,31
Intel,i5-12세대 12400 ,233720,LGA1700,10nm(인텔7),6코어,12쓰레드,2.5GHz,4.4GHz,18MB,65W,DDR5/DDR4,4800/3200MHz,TRUE,TRUE,316,17,36
Intel,i5-12세대 12400F ,212480,LGA1700,10nm(인텔7),6코어,12쓰레드,2.5GHz,4.4GHz,18MB,65W,DDR5/DDR4,4800/3200MHz,FALSE,TRUE,329,17,36
Intel,i5-11세대 11400 ,205960,LGA1700,14nm,6코어,12쓰레드,2.6GHz,4.4GHz,12MB,65W,DDR4,3200MHz,TRUE,TRUE,353,42,45
Intel,i3-12세대 12100F ,112560,LGA1700,10nm(인텔7),4코어,8쓰레드,3.3GHz,4.3GHz,12MB,58W,DDR5/DDR4,4800/3200MHz,FALSE,TRUE,276,52,54
Intel,i3-12세대 12100 ,149080,LGA1700,10nm(인텔7),4코어,8쓰레드,3.3GHz,4.3GHz,12MB,60W,DDR5/DDR4,4800/3200MHz,TRUE,TRUE,308,52,54
Intel,i5-11세대 11400F ,181180,LGA1200,14nm,6코어,12쓰레드,2.6GHz,4.4GHz,12MB,65W,DDR4,3200MHz,FALSE,TRUE,277,42,45
Intel,i5-10세대 10400 ,188440,LGA1200,14nm,6코어,12쓰레드,2.9GHz,4.3GHz,12MB,65W,DDR4,2666MHz,TRUE,TRUE,336,50,52
Intel,i5-10세대 10400F ,155780,LGA1200,14nm,6코어,12쓰레드,2.9GHz,4.3GHz,12MB,65W,DDR4,2666MHz,FALSE,TRUE,293,50,52
Intel,i7-11세대 11700 ,405950,LGA1200,14nm,8코어,16쓰레드,2.5GHz,4.9GHz,16MB,65W,DDR4,3200MHz,TRUE,TRUE,297,31,25
Intel,i7-10세대 10700F ,325820,LGA1200,14nm,8코어,16쓰레드,2.9GHz,4.8GHz,16MB,65W,DDR4,2933MHz,FALSE,TRUE,221,36,33
Intel,i7-11세대 11700K ,443370,LGA1200,14nm,8코어,16쓰레드,3.6GHz,5.0GHz,16MB,125W,DDR4,3200MHz,TRUE,FALSE,223,26,23
Intel,i3-10세대 10100 ,136830,LGA1200,14nm,4코어,8쓰레드,3.6GHz,4.3GHz,6MB,65W,DDR4,2666MHz,TRUE,TRUE,240,58,59
Intel,i9-11세대 11900K ,581900,LGA1200,14nm,8코어,16쓰레드,3.5GHz,5.3GHz,16MB,125W,DDR4,3200MHz,TRUE,FALSE,218,21,20
Intel,펜티엄 골드 G6400 ,73560,LGA1200,14nm,2코어,4쓰레드,4.0GHz,4.0GHz,4MB,58W,DDR4,2666MHz,TRUE,FALSE,193,61,61
Intel,i5-11세대 11500 ,227460,LGA1200,14nm,6코어,12쓰레드,2.7GHz,4.6GHz,12MB,65W,DDR4,3200MHz,TRUE,TRUE,301,42,45
Intel,i7-10세대 10700 ,356070,LGA1200,14nm,8코어,16쓰레드,2.9GHz,4.8GHz,16MB,65W,DDR4,2933MHz,TRUE,TRUE,218,36,33
Intel,i3-10세대 10105 ,135670,LGA1200,14nm,4코어,8쓰레드,3.7GHz,4.4GHz,6MB,65W,DDR4,2666MHz,TRUE,TRUE,241,58,57
Intel,i9-10세대 10900K ,544900,LGA1200,14nm,10코어,20쓰레드,3.7GHz,5.3GHz,20MB,125W,DDR4,2933MHz,TRUE,TRUE,194,23,14
Intel,i9-11세대 11900 ,565000,LGA1200,14nm,8코어,16쓰레드,2.5GHz,5.2GHz,16MB,65W,DDR4,3200MHz,TRUE,TRUE,196,29,20
Intel,i5-10세대 10500 ,217190,LGA1200,14nm,6코어,12쓰레드,3.1GHz,4.5GHz,12MB,65W,DDR4,2666MHz,TRUE,TRUE,188,49,51
