Manufacturer,Name,Socket,Chipset,Size,DDR,MemoryMaxClock,SlotAmount,MemoryMaxSize,Stock,Price
Intel,ASRock B660 Pro RS D4 에즈윈,LGA1700,인텔 B660,ATX,DDR4,4800MHz (PC4-38400),4,128,227,172600
Intel,ASRock B660 스틸레전드 D4 에즈윈,LGA1700,인텔 B660,ATX,DDR4,5000MHz (PC4-40000),4,128,211,223700
Intel,ASRock B660M Pro RS D4 에즈윈,LGA1700,인텔 B660,M-ATX,DDR4,4800MHz (PC4-38400),4,128,281,152440
Intel,ASRock B660M-HDV D4 디앤디컴,LGA1700,인텔 B660,M-ATX,DDR4,5066MHz (PC4-40500),2,64,281,128950
Intel,ASRock B660M-HDVP/D5 에즈윈,LGA1700,인텔 B660,M-ATX,DDR5,4800MHz (PC5-38400),2,64,214,128700
Intel,ASUS EX B660M-V5 D4 코잇,LGA1700,인텔 B660,M-ATX,DDR4,5333MHz (PC4-42600),2,64,322,140760
Intel,ASUS PRIME B660M-A D4 STCOM,LGA1700,인텔 B660,M-ATX,DDR4,5333MHz (PC4-42600),4,128,268,178990
Intel,ASUS PRIME B660M-A WIFI D4 STCOM,LGA1700,인텔 B660,M-ATX,DDR4,5333MHz (PC4-42600),4,128,301,206990
Intel,ASUS PRIME B660-PLUS D4 아이보라,LGA1700,인텔 B660,ATX,DDR4,5000MHz (PC4-40000),4,128,275,174780
Intel,ASUS ROG STRIX B660-A GAMING WIFI D4 코잇,LGA1700,인텔 B660,ATX,DDR4,5333MHz (PC4-42600),4,128,269,277200
Intel,ASUS ROG STRIX B660-F GAMING WIFI 코잇,LGA1700,인텔 B660,ATX,DDR5,6000MHz (PC5-48000),4,128,287,296170
Intel,ASUS ROG STRIX B660-G GAMING WIFI 아이보라,LGA1700,인텔 B660,M-ATX,DDR5,6000MHz (PC5-48000),4,128,217,274150
Intel,ASUS TUF Gaming B660M-E D4 아이보라,LGA1700,인텔 B660,M-ATX,DDR4,5333MHz (PC4-42600),4,128,224,182100
Intel,ASUS TUF Gaming B660M-PLUS D4 코잇,LGA1700,인텔 B660,M-ATX,DDR4,5333MHz (PC4-42600),4,128,222,212860
Intel,ASUS TUF Gaming B660M-PLUS WIFI D4 인텍앤컴퍼니,LGA1700,인텔 B660,M-ATX,DDR4,5333MHz (PC4-42600),4,128,211,245040
Intel,ASUS TUF Gaming B660-PLUS WIFI D4 STCOM,LGA1700,인텔 B660,ATX,DDR4,5333MHz (PC4-42600),4,128,275,207200
Intel,GIGABYTE B660 AORUS MASTER D4 제이씨현,LGA1700,인텔 B660,ATX,DDR4,5600MHz (PC4-44800),4,128,251,272420
Intel,GIGABYTE B660M AORUS PRO AX D4 피씨디렉트,LGA1700,인텔 B660,M-ATX,DDR4,5333MHz (PC4-42600),4,128,259,217220
Intel,GIGABYTE B660M AORUS PRO D4 피씨디렉트,LGA1700,인텔 B660,M-ATX,DDR4,5333MHz (PC4-42600),4,128,252,181970
Intel,GIGABYTE B660M D3H D4 듀러블에디션 피씨디렉트,LGA1700,인텔 B660,M-ATX,DDR4,5333MHz (PC4-42600),4,128,248,153030
Intel,GIGABYTE B660M DS3H D4 피씨디렉트,LGA1700,인텔 B660,M-ATX,DDR4,5333MHz (PC4-42600),4,128,308,134900
Intel,GIGABYTE B660M GAMING D4 제이씨현,LGA1700,인텔 B660,M-ATX,DDR4,5333MHz (PC4-42600),2,64,207,127500
Intel,MSI MAG B660 토마호크 WIFI,LGA1700,인텔 B660,ATX,DDR5,6200MHz (PC5-49600),4,128,233,259000
Intel,MSI MAG B660 토마호크 WIFI DDR4,LGA1700,인텔 B660,ATX,DDR4,4800MHz (PC4-38400),4,128,246,255850
Intel,MSI MAG B660M 바주카 DDR4,LGA1700,인텔 B660,M-ATX,DDR4,4800MHz (PC4-38400),4,128,218,199990
Intel,MSI MAG B660M 박격포,LGA1700,인텔 B660,M-ATX,DDR5,6200MHz (PC5-49600),4,128,206,228990
Intel,MSI MAG B660M 박격포 DDR4,LGA1700,인텔 B660,M-ATX,DDR4,4800MHz (PC4-38400),4,128,316,216480
Intel,MSI MAG B660M 박격포 WIFI,LGA1700,인텔 B660,M-ATX,DDR5,6200MHz (PC5-49600),4,128,220,248890
Intel,MSI MAG B660M 박격포 WIFI DDR4,LGA1700,인텔 B660,M-ATX,DDR4,4800MHz (PC4-38400),4,128,251,239000
Intel,MSI PRO B660M-A DDR4,LGA1700,인텔 B660,M-ATX,DDR4,4800MHz (PC4-38400),4,128,218,165000
Intel,MSI PRO B660M-A WIFI DDR4,LGA1700,인텔 B660,M-ATX,DDR4,4800MHz (PC4-38400),4,128,229,189000
Intel,MSI PRO B660M-B DDR4,LGA1700,인텔 B660,M-ATX,DDR4,4600MHz (PC4-36800),2,64,235,135000
Intel,MSI PRO B660M-E DDR4,LGA1700,인텔 B660,M-ATX,DDR4,4600MHz (PC4-36800),2,64,224,129000
Intel,MSI PRO B660M-G DDR4,LGA1700,인텔 B660,M-ATX,DDR4,4600MHz (PC4-36800),2,64,241,139000
Intel,ASRock H610M-HDV D4 에즈윈,LGA1700,인텔 H610,M-ATX,DDR4,3200MHz (PC4-25600),2,64,218,112900
Intel,ASRock H610M-HDV/M.2 D4 디앤디컴,LGA1700,인텔 H610,M-ATX,DDR4,3200MHz (PC4-25600),2,64,304,116730
Intel,ASRock H610M-HDVP/D5 디앤디컴,LGA1700,인텔 H610,M-ATX,DDR5,4800MHz (PC5-38400),2,64,207,121000
Intel,ASRock H610M-HVS D4 에즈윈,LGA1700,인텔 H610,M-ATX,DDR4,3200MHz (PC4-25600),2,64,207,110800
Intel,ASUS PRIME H610M-A D4 STCOM,LGA1700,인텔 H610,M-ATX,DDR4,3200MHz (PC4-25600),2,64,297,125920
Intel,ASUS PRIME H610M-D D4 코잇,LGA1700,인텔 H610,M-ATX,DDR4,3200MHz (PC4-25600),2,64,320,121500
Intel,ASUS PRIME H610M-E D4 인텍앤컴퍼니,LGA1700,인텔 H610,M-ATX,DDR4,3200MHz (PC4-25600),2,64,323,117140
Intel,ASUS PRIME H610M-K D4 인텍앤컴퍼니,LGA1700,인텔 H610,M-ATX,DDR4,3200MHz (PC4-25600),2,64,370,116590
Intel,GIGABYTE H610M H D4 듀러블에디션 제이씨현,LGA1700,인텔 H610,M-ATX,DDR4,3200MHz (PC4-25600),2,64,289,107700
Intel,GIGABYTE H610M S2H D4 듀러블에디션 제이씨현,LGA1700,인텔 H610,M-ATX,DDR4,3200MHz (PC4-25600),2,64,257,114270
Intel,MSI PRO H610M-B DDR4,LGA1700,인텔 H610,M-ATX,DDR4,3200MHz (PC4-25600),2,64,276,115500
