Name,Type,Pcle,Capacity,Price
마이크론 Crucial MX500,내장형SSD,6.4cm(2.5형),250GB,47130
삼성전자 PM9A1 M.2 NVMe,내장형SSD,M.2 (2280),250GB,52810
도시바 DT01 7200/32M,HDD (PC용),SATA3(6Gb/s),1TB,53500
HGST HUA723030ALA640 7200/64M,HDD (PC용),SATA3(6Gb/s),3TB,53820
삼성전자 980 M.2 NVMe,내장형SSD,M.2 (2280),250GB,53980
Western Digital WD BLUE 7200/64M,HDD (PC용),SATA3(6Gb/s),1TB,54500
Western Digital WD Blue SN570 M.2 NVMe,내장형SSD,M.2 (2280),250GB,57820
Seagate BarraCuda 7200/32M,HDD (PC용),SATA3 (6Gb/s),500GB,58000
Western Digital WD WD5000AZLX (SATA3/7200/32M),HDD (PC용),SATA3(6Gb/s),500GB,58000
Seagate BarraCuda 7200.12 SATA2/7200/16M,HDD (PC용),SATA2(3Gb/s),500GB,58490
SK하이닉스 Gold S31,내장형SSD,M.2 (2280),250GB,59000
삼성전자 870 EVO,내장형SSD,6.4cm(2.5형),250GB,60780
Western Digital WD BLUE 7200/16M,HDD (PC용),SATA3(6Gb/s),500GB,61410
Seagate BarraCuda 7200/256M,HDD (PC용),SATA3 (6Gb/s),2TB,64000
Seagate BarraCuda 7200/16M,HDD (PC용),SATA3(6Gb/s),500GB,64990
마이크론 Crucial MX500,내장형SSD,6.4cm(2.5형),500GB,65300
Western Digital WD BLUE 7200/256M,HDD (PC용),SATA3(6Gb/s),2TB,66000
HGST Ultrastar 7K3000 7200/64M,HDD (PC용),SATA3(6Gb/s),2TB,71120
삼성전자 870 EVO,내장형SSD,6.4cm(2.5형),500GB,71300
삼성전자 980 M.2 NVMe,내장형SSD,M.2 (2280),500GB,73800
Western Digital WD Blue SN570 M.2 NVMe,내장형SSD,M.2 (2280),500GB,75190
SK하이닉스 Gold S31,내장형SSD,M.2 (2280),500GB,78240
SK하이닉스 Gold P31 M.2 NVMe,내장형SSD,M.2 (2280),500GB,81000
삼성전자 PM9A1 M.2 NVMe,내장형SSD,M.2 (2280),500GB,81980
도시바 DT01 7200/64M,HDD (PC용),SATA3(6Gb/s),500GB,96010
도시바 P300 7200/64M,HDD (PC용),SATA3 (6Gb/s),2TB,99500
마이크론 Crucial MX500,내장형SSD,6.4cm(2.5형),1TB ,116530
SK하이닉스 Gold S31,내장형SSD,M.2 (2280),1TB ,126000
Western Digital WD Blue SN570 M.2 NVMe,내장형SSD,M.2 (2280),1TB ,132480
삼성전자 980 M.2 NVMe,내장형SSD,M.2 (2280),1TB ,138020
Seagate 파이어쿠다 530 M.2 NVMe,내장형SSD,M.2 (2280),500GB,139000
도시바 MD04 7200/128M,HDD (PC용),SATA3(6Gb/s),4TB,141000
삼성전자 870 EVO,내장형SSD,6.4cm(2.5형),1TB ,142800
Seagate BarraCuda 5400/256M/,HDD (PC용),SATA3(6Gb/s),8TB,145190
도시바 P300 5400/128M,HDD (PC용),SATA3 (6Gb/s),2TB,150000
삼성전자 PM9A1 M.2 NVMe,내장형SSD,M.2 (2280),1TB ,163340
SK하이닉스 Gold P31 M.2 NVMe,내장형SSD,M.2 (2280),1TB ,163990
Western Digital WD BLUE 5400/256M,HDD (PC용),SATA3(6Gb/s),4TB,171950
Western Digital WD BLACK 7200/64M,HDD (PC용),SATA3(6Gb/s),1TB,175300
Seagate FireCuda SSHD 7200/64M,SSHD (PC용),SATA3 (6Gb/s),2TB,185120
Western Digital WD BLUE 5400/64M,HDD (PC용),SATA3(6Gb/s),4TB,209520
Western Digital WD BLUE 5640/128M,HDD (PC용),SATA3(6Gb/s),8TB,211200
Seagate BarraCuda 5400/256M,HDD (PC용),SATA3 (6Gb/s),4TB,214820
Seagate 파이어쿠다 530 M.2 NVMe,내장형SSD,M.2 (2280),1TB ,229000
마이크론 Crucial MX500,내장형SSD,6.4cm(2.5형),2TB,248480
Seagate BarraCuda 7200/64M,HDD (PC용),SATA3 (6Gb/s),1TB,249000
도시바 X300 7200/128M,HDD (PC용),SATA3 (6Gb/s),4TB,265000
Seagate BarraCuda Pro 7200/128M,HDD (PC용),SATA3 (6Gb/s),4TB,268890
Western Digital WD Blue SN570 M.2 NVMe,내장형SSD,M.2 (2280),2TB,288200
Seagate Surveillance 7200/256M,HDD (PC용),SATA3(6Gb/s),8TB,292000
삼성전자 870 EVO,내장형SSD,6.4cm(2.5형),2TB,296150
SK하이닉스 Gold P31 M.2 NVMe,내장형SSD,M.2 (2280),2TB,302800
삼성전자 PM9A1 M.2 NVMe,내장형SSD,M.2 (2280),2TB,329010
도시바 X300 7200/256M,HDD (PC용),SATA3 (6Gb/s),8TB,340000
Seagate 파이어쿠다 530 M.2 NVMe,내장형SSD,M.2 (2280),2TB,459000
마이크론 Crucial MX500,내장형SSD,6.4cm(2.5형),4TB,467100
Western Digital WD BLACK 7200/256M,HDD (PC용),SATA3 (6Gb/s),4TB,489000
삼성전자 870 EVO,내장형SSD,6.4cm(2.5형),4TB,580120
Seagate 파이어쿠다 530 M.2 NVMe,내장형SSD,M.2 (2280),4TB,1095000
Seagate BarraCuda Pro 7200/256M,HDD (PC용),SATA3 (6Gb/s),12TB,1180000
